# Derived from Ho et al. arXiv:2606.02399v1, Fig. 1(e) vector source.
# Source figure SHA256: ba18ac4c15f68f024d5edad3915d1d4ff40d0ea95b9f9adc50516613b92e4382
# Regenerate with: python extract_ho_fig1e.py theory1ev_V4.pdf --output data/ho_fig1e_absorption.csv
pressure_GPa,energy_eV,absorption_au
60,2.69439550,1.62838790
60,2.73564395,1.43676728
60,2.85157722,0.86756416
60,2.89188844,0.69612174
60,2.93282442,0.54382325
60,2.97094792,0.42411422
60,3.01094667,0.32050650
60,3.05219491,0.23547529
60,3.09719325,0.16469045
60,3.14719159,0.10801620
60,3.20000200,0.06739994
80,1.39993374,0.00000000
80,2.27458954,0.01050900
80,2.28333923,0.02784498
80,2.28646417,0.05442994
80,2.28833902,0.09926109
80,2.28958892,0.17234129
80,2.29083902,0.36762848
80,2.29177644,0.78806827
80,2.29302634,1.80484887
80,2.29333882,1.66926609
80,2.29521386,0.37152553
80,2.29677624,0.15490622
80,2.29865108,0.08499637
80,2.30083861,0.06447683
80,2.30427603,0.06493268
80,2.31333819,0.08813001
80,2.31833798,0.10644080
80,2.32177540,0.12375182
80,2.32802510,0.16546181
80,2.33177499,0.19071447
80,2.34177458,0.31104524
80,2.36021138,0.64055870
80,2.36364880,0.63247244
80,2.36646127,0.60243820
80,2.36958602,0.57566238
80,2.38771054,0.54417986
80,2.39146024,0.55223969
80,2.39677271,0.58941548
80,2.40302240,0.66134763
80,2.41395941,0.82101154
80,2.42458415,0.96411830
80,2.43145879,1.02458318
80,2.43770868,1.05634977
80,2.45208311,1.08893483
80,2.46333280,1.11929279
80,2.46958249,1.18374647
80,2.48176960,1.34598175
80,2.48614444,1.31601797
80,2.49208166,1.37266727
80,2.49958145,1.42812742
80,2.51020599,1.48197707
80,2.53270516,1.59346551
80,2.54895464,1.68980911
80,2.56801639,1.75403377
80,2.60426504,1.85430305
80,2.62082699,1.89166748
80,2.63551390,1.90317733
80,2.67145028,1.89797001
80,2.70863635,1.84747201
